idioms,literal_meaning
ከነ እርሙ በላ,መርዶ ባለመስማት ለዘመዱ ሳያለቅስ ቀረ
ቁም አፍ,ነገረኛ
የሰው እንኩቶ,እርባን የሌለው
መከዳ አቃፊ,እልፍኝ ታዛዥ
ምርጊት ፊት,ፊቱ የማያምር ልድፍ አይነት ፊት
ጡት ተጣባ,አለቅጥ ተወዳጀ
ከልቡ ተነጋረ,እውንቴን
መላ መታ,ተነበየ ጠነቆለ
ስድ ቤት,አጥር የሌለው ቤት
ልቤ ተሰቀለ,ሀሳብ ገባኝ
ለሆነ ነገር,ለሆነ ነገር
ርስት ተመራ,ርስት ተቀበለ
አፈ ቅቤ,ሲናገር የሚያሳምን
ምኑ ቅጡ,የማይያደርገው ምን ሊኖር
ርጋ,አትቅለብለብ
ሿ አደረገ,በተነ
በቁሙ ሞተ,ተጎዳ ተጎሳቆለ
ብራ ቀን,ዝናብ የሌለበት ቀን
ቀዳዳ,ነገር የማይቋጥር ሰው
ጠጁን ለበለበው,በሚገባ ጠጣው
ባላገር,ያልሰለጠነ ገጠሬ
ቅጥ ያጣ,መላው የጠፋ
ርጥብ አማኝ,አዲስ ምስክር
መራውን ወጣ,መጀመሪያ ገደለ
በጎ አድራጎት,ምግባረ ሰናይ
ነገር ቆሰቆሰ,ነገሩን አባባሰው
ሆን ብሎ,አውቆ
የእንባውን አገኘ,ያዘነበትን አገኘ
ልቡ ፈረሰ,ልቡን አመመው
ሲፈራ ሲቸር,ላድርግ አላድርግ ሲል
ቀደሰ,ጀመረ
ልብ ከዳ,ፈሪ አደረገ
የጭን በቅሎ,ባለቤቷ ብቻ የሚቀመጥባት
ቂጥ ለቂጥ ገጠመ,አበረ
ብስል ከጥሬ,ጥሩና መጥፎ
ቁራ ይጮህባታል,አገሩ ይፈታል
ሸክም ሆነ,አስቸገረ
አንገቱን ቀለሰ,አዘነ ተከዘ
ልሳነ እሳት,የእሳት ነበልባል
ራስ ተስሞ,በብዙ ልምምጥ
በቁምህ,በስራው ላይ እንደቆምክ
ቀባጢና,አርፎ የማይቀመጥ
ቅመም,በትንሹ የሚበቃ
ሙጢ አፍ,ነገረኛ
አምባር ሰበረ,ድንግልና ጣሰ
ወሬ ነዛ,ወሬ አሰራጨ
የሰይጣን ቁራጭ,ጨካኝ
ቤተ ፈት,አግኝቶ ያጣ
ልቡ ሸፈተ,እምቢ አሻፈረኝ ለማለት ፈለገ
ፀጋ ለበሰ,ፀጋ አደረበት
አንሳ,ጥፋትህን እመን
ሰምና ወርቅ,የሚስማሙ
በዋለ ቀረ,አልተመለሰም
የቤት ጉድ,መጥፎ ጠባይ
አርእስተ ነገር,ስረ ነገር
ቀላል ሰው ነው,ለቁም ነገር የሚበቃ አይደለም
የቆየ,የታገሰ
መከራ ስጋ,ችግር ስቃይ
አንዱ በቃኝ,ትልቅ
ጭራ ቀረሽ,እብድ
ራቤ,ናፍቆቴ
ቀልበ ደረቅ,ቀልድ የማይችል
በገ ሰማይ,አሳማ
ተስፈኛ,ትራፊ የሚበላ
ሆዱ አይበልጠውም,ብቻውን አይበላም
መጥኔውን ይስጥሽ,ትግስቱን ይስጥሽ
ባህሩን በዋና ቆረጠ,ተሻገረ
በረከተ ስጋ,ሀብተ ስጋ
ምስለ አፍሳሽ,ቅርፃ ቅርፅ የሚያወጣ
ያልሰማ ጆሮ,ለነገሩ እንግዳ
ከልኩ አለፈ,መጠኑ ጨመረ
ቅደም ተከተል,ፊትና ኋላ
ሞልጮኝ ሄደ,ገፎኝ ሄደ
ተስፋ አገኘ,ልቡ ሞላ
ልቡ ተቀሰቀሰ,ተነሳሳ
የብርሀን ልጆች,የፅድቅ ልጆች
የረፍት ጊዜዬ ተቃጠለ,እረፍቴን ሳልጠቀምበት አለፈ
የሰባ ነገር,ሊቋረጥ የደረሰ
ነገር ለደፈብኝ,ሳያስበው ክፉ ተናገረኝ
ይቅር ለግዜር,ቂሜን ትቻለሁ
ደም ያረገዘ ጣት,ሙሉና የሚያምር ጣት
ልቡ ቆሰለ,ተናደደ አዘነ
አድማ መታ,ሸመቀ ለአንድ አላማ ተስማማ
መቀጣጫ,ለሌሎች ምስሌ የሚሆን
አንደበቱ ረታ,አንደበቱ ሰላ
ሰርገኛ መጣ በርበሬ ቀንጥሱ,የሚቸኩል ሰው
ልብስ አስቀደደ,ልብስ አስለካ
ሰውነተ ቢስ,ቁም ነገር የሌለው
ቀረቀበ,በላ
ምግበ ነፍስ,ፆም ፀሎት
ራሱን አወጣ,ከችግር ተገለለ አተረፈ
በሽታ ይዞታል,አእምሮው ትክክል አይደለም
ጉልበቱ ተረታ,ደከመ
ቅርጥፍ ያለ ውሸታም,እልም ያለ
አፈር ቀመሰ,ሞተ
አይመስሉ መስሎ,ከሳ ጠቆረ ጎሰቆለ
ቤት መለስ,ሙያ ዘዴ
ምርቅና ፍትፍት,ክፉና ደግ
ይሸናል,ማፍሰስ ጀምሯል
ልበ ድፍን,ደደብ
ልበ ሙሉ,ደፋር ጎበዝ
ቅጭታም,አንገቱን ወለም የሚለው
ቢል ያለች,ሰውነት የሌላት
ቂሙን ቀረፈ,ብድሩን መለሰ
ድንጋይ መንከስ,የማያገኙትን አገኛለሁ ማለት
ቀለም አገባ,ነከረ
መሮ ጥርስ,ገጣጣ ጥርሳም
ልቡ ከዳው,ፈራ
ተባሰል,ተበሻሸቀ
የሰውን ልክ,የሰውን ችሎታ
ምች አደር,በየጊዜው የሚያገረሽ በሽታ
የነካካው እንጀራ,ትንሽ ወጥ የተለቀለቀ
በነገር በከለው,ስሙን አጠፋው
ረገጠ,አጠበ
ትዳሩ ሞላ,ባለፀጋ ሆነ
ቸብ አደረገ,በፍጥነት ሸጠ
መናገር ቃጠኝ,መናገር ፈለኩ
የኩልቤት,አዛዥና ታዣዥ የሌለበት
እርግፍ ያርገኝ,በሱ ፈንታ እኔ ልሙት
ርጥብ ቁርበት,ተገፎ ያልሰነበተ ቆዳ
ሴራ ጉዱ,ለጠብ ሰበብ ፈላጊ
በነቂስ ወጣ,በሙሉ ወጣ
ሞት ቀነጠሰው,በልጅነቱ ሞተ
ድፍን ቅል,ያልተማረ
ስጋው መጠጠ,ጠፍ አለ
ጠጉሩን ነቀሰ,አበጠረ
ሞት ይቆረብለትና,ይሙትና
ቃሉን ነቀለ,ለወጠ
መለመኛ አጣ,ፈፅሞ ደሀ ሆነ
በራዥ ከላሽ,በካይ
አገሩን አቀና,ለመኖሪያ እንዲመች አደረገ
ቤት ለንግዳ,እቤት ግቡና እረፉ
ሀረግ ጣለ,አስዋበ
ሰማይ ጠቀስ,በጣም ረጅም
እንትፍትፍ,መረቀ
ልቡ ቆረጠ,አንድ ነገር ለመፈፀም ወሰነ
በሀሳብ ሰጠመ,በሀሳብ ጭልጥ ብሎ ሄደ
ስር ሰደደ,ተጠናከረ
ላባ ቀረሽ,እብድ
የሰው ምሰሶ,እህል ሰውን በሂወት የሚያኖር
ነገሩን አብላላው,ጥሩ አድርገህ አስብበት
እንቅልፍ ይስባህ,እንቅልፍ ይጫጫንህ
ሩቅ አገር,ዳር አገር
የቁም ከብት,የቀንድ ከብት
አስረግጠህ ንገረኝ,አስተካክለህ እውነቱን
ውሻ ለከፈው,አረከሰው
ሆደ ቡቡ,ርህሩህ
ቅዘን ነዳው,በብዛት አስቀመጠው
ደም ተቃባ,ደም ያፋሰሰ ጠበኝነት
መምህርተር ልምዱ ሆነ,መዋሸት
የእንጨት ምንቸት,ራሱ የማያድን ሌላም የማያድን
አከንባሎ ሰበረ,እንደ አዲስ ሚስቱን ተገናኘ
ለነበር,ለስም
ልብ አውልቅ,አሰልቺ ነዝናዛ
ችክ ምንችክ አለ,ተሟዘዘ
መሬት ላሰ,ተለማመጠ
ፈሱን ቆረጠ,እጅግ አድርጎ ተሰቃዬ
አፉን አሾለ,ለነገር አቆተመ
እንዴት ያለ ቋንቋ ነው,እንዴት ያለ ሁኔታ ነው
አንድ ራሱን,ብቻውን
ቅርብ ዘመድ,ዝምዳንው ያልራቀ
ሆደ ባህር,ቻይ
ሱሪ አለበስኩም,ወንድ አይደለሁም
የነገር ርክፍካፎ,ተርፍ ቃል
ቤት ለንቦሳ,እንኳን ላምህ ወለደች
ፍሬው ተንተርክኳል,ዛፉ በብዛት ፍሬ አዝሏል
አስበቃ,አስጨረሰ
ሊጡ መጠጠ,ኮመጠጠ
ሸኘው,ገደለው
ንግግሩን አላረካውም,ደስ አላሰኘውም
ልበ ልል,ደካማ
ስም እንዳለው,እንደ ጥሩ ሰው
ስምህን ቄስ ይጥራው,ሙት
ተባቃ,ተጋደለ
ቂም አረገዘ,ቂም ያዘ
በሽታ ነካው,ታመመ
እስቲ ልውስ ትልና,ትንቀሳቀስና
ነደደው,እጅግ ተቆጣ
ፊደልም የቆጠረ አይመስል,ትንሽም የተማረ አይመስል
ለዋሳ,አቅመ ቢስ
ለአይን ሞላ,ገዘፈ አደገ
ወሬው በረደ,ቀዘቀዘ
ምጥ መጣ,ጭንቅ ሆነ
ረሀቡ በረደ,ታገሰ
ቦይ ቀደደ,ቦይ አወጣ
ለብሰሽ ፍጂው,ጨሪሺው ለአዲስ ልብስ 
አለምን አሸነፈ,እውነትን ወደደ አመፅን ጠላ
ከሞላ ጎደል,ከሙሉ ቅናሽ
ለይምሰል ስራ,ለእዩኝ ስራ
አልጋው ተነቃነቀ,የንጉሱ ስልጣን እየተዳከመ ሄደ
የነቃ,የሰለጠነ
ምስጋና ይንሳው,መጥኔውን ይስጠው
ተስፋ ሰጠ,ታገኛለህ አለ ውለታ ገባ
ነገሩ በሰለ,ግልፅ ሆነ
ልብ አትክን,አናዳጅ
ነፍስ ሆነ,ተወደደ
ቁም ስቅል,ጭንቅ ስቃይ
የሴትምህርት ቤት,የሴተኛ አዳሪ ቤት
የእህል ቋት,ሆዳም
የሚላስ የሚቀመስ,የሚበላ የሚጠጣ
ሁን ያለው ይሆናል,የፈለገው ይፈፀማል
ሰው ሆነ,ወደ ሰውነቱ ተለወጠ
መማለጃ በላ,ጉቦ ተቀበለ
ቅሬታ ገባው,ሳይደሰትበት ቀረ
ብቅል ረገጠ,ብቅል አበቀለ
በፍቅር ተነደፈ,ፍቅር ያዘው
ቆላ ቁስል,መርዘኛ ቁስል
ልብቡ አልሰከነም,ከልጅነት ባህርይ አልወጣም
መሰናዘሪያ ቦታ,መፈናፈኛ
ልበ ጠናና,ክፋትን እንጂ ደግን የማያስብ
ቃሉን አከበረ,በቃሉ ጠና
ቁስሉ ተቆጥቷል,የማይድን ሁኗል
ምን አግዶኝ,እንዴት ደፍሬ
ባህር ማዶ,ውጭ አገር
ብልሀት የለውም,ዋጋ የለውም
ክፉና በጎ,መጥፎ ነገር
ብቻ ግዴለም,የሰራኸኝን አልረሳህልም
እጅህን ሰብስብ,የሰው እቃ አትንካ
ምስጢር አፈሳ ሆነ,ሚስጥሩን ሁሉ አወቀው
ሙልጭ ወጣ,ባዶ እጁን ተባረረ
ልጨኛ,ለችግር ደራሽ
ከብቱን ለቀቀ,አሰማራ
የቋጠረው የማይፈታ,የወጠነው የሚያስቸግር
በቃኝ በቃኝ,እዚህ ላይ ይቁም
ሆደ መጋዝ,ክፉ ሰው
ወተቱ ሸፈተ,ቅቤ ማውጣት ጀመረ
ልብ አውልቅ,አሰልቺ አድካሚ
እግዚአብሄርህን አታሰናዝር,ባለህበት ቁም
ውሀ ቀጠነ,በሚያሲከፋ ነገር ተነጫነጨ
ጥርሱን አረገፈው,አወለቀው
ብትን ድልህ,ስልቅ በርበሬ
ሸማ ለባሽ,መንዳካ ደሀ
ምርር አለ,አዘነ
ግምባሩ ተሸበሸበ,ተቆጣ
ቁመናቢስ,የማያምር
ቁርበት የሌለው,ጋደም የሚልበት
የማይሆነው ነገር,አጉል ነገር
በነገር ረጨኝ,በከለኝ
መቀስ አፍ,ተናጋሪ
ስብስብ እምቤት,የማትዝረከረክ
አቀጠለ,እንደገና መለምለም ያዘ
ስረ ነገር,የነገር መነሻ
ልበ ብርቱ,ጠንካራ ባህርይ ያለው
ስርአት ተከለ,ህግ አወጣ
ቆዳ መሬት,ታርሶ ታርሶ ያረጀ መሬት
ጎዶሎ ቀን,አጉል ቀን
በድህነት ነደደ,እጅግ ተቸገረ
ስም አነሳ,አማ አመሰገነ
ልቡ ዋለለ,አመነታ ተጠራጠረ
እርስ በርሱ ተናከሰ,ተጣላ
ምን ቆርጦኝ,እንዴት ብደፍር
ምድር ተፋችው,አሽቀነጠረችው
አበቃቀሉ,ቁመቱ
ልበ ጥኑ,ጨካኝ
ከልኩ አያልፍም,የሆነው ይሆናል
ባታላጋኝ,ባታንገላታኝ
ብትንትኑ ወጣ,ምስቅልቅሉ ወጣ
ዝናብ መታው,ዝናብ ጣለበት
አራገፈ,ሙልጭ አደረገ
ንድፈ ሀሳብ,መነሻ ሀሳብ
ልቡ ሻ አለ,ፈለገ
ብላ ተባላ,ክፉ ጊዜ
እርግጥ,እውን
በእንባ ተራጨ,ተላቀሰ
ስጋዬ,ዘመዴ
ምድር መታች,ለባሏ ምግብ አዘጋጀች
ምራቁን ዋጠ,ጠፍተኛ ሆነ
ባይሆን,ካልሆነ
ተቀባባች,አማረረች
የሰው ሚስት አማገጠ,የሰው ሚስት ተገናኜ
በይና ተበይ,አጥፊና ጠፊ
ላይኞች,ባለስልጣኖች
ተቋጠረ,የዝምድና ሀረግ ተጓተተ
አይነ ልም,ተንኮለኛ
ልብስ ገፋፊ,የሬሳ ልብስ ወሳጅ
ሸተት አለ,አፈገፈገ
ቂም ያዘ,ቂሙን በልቡ አሳደረ
ነበር ቤት አይሰራም,ባለፈ ታሪክ መኩራራት አይጠቅምም
ተራ ነገር,ቀላል ነገር
ቁስሉ ሸፈጠ,ድኖ የነበረው አመረቀዘ
ቢነስርም ቢከስርም,ቢያተርፍም ባያተርፍም
ሰው ሆነ,አደብ ገዛ
በረከት ወረደ,የጥጋብ ዘመን መጣ
ቆይታ ያዘ,ከባለሟሎች ጋር መከረ
ባርያ ሰደድ,ጠንካራ ገብስ
አገር ተመታ,በጦርነት ጠፋ
በተ በረከት,ጥቂቱ ብዙ የሚሆንበት
ቂም ቋጠረ,ቂም ያዘ
ቅምጠላው ጠፋ,ህሊናውን ሳተ
ኮሶ ተጣባ,ኮሶ ታዬ
ድንበር ረገጠ,ወሰኑን አሳዬ
ፈተና ቀለለ,ሳይከብድ ቀረ
ቸበቸበው,በርካሽ ሸጠው
ስራዬ ብሎ,ሆን ብሎ
ወይ ነዶ,እንዴት ያስቆጣል
ትንትግ ትንትግ አለ,ቶሎ ቶሎ ተቆጣ
ብቅል አይጠንሰስ,ዘወትር ሰካራም
ቅፍፍ ያለ,መልኩ ጥፉ
ስድ አደግ,ያልተቀጣ
ልባቸው ተራርቋል,ተቀያይመዋል
ሹመት ያዳብር,ስልጣን እየጨመረ ይሂድ
ልብ አድርቅ,መንቻካ አሰልቺ
ባይሸት ይሻላል,ውጪ ባይወጣ
እንጨት ሰባሪ,ለማገዶ ሚሆን እንጨት ሰባሪ
መገዘዝ ፊት,የደስታ ፊት የማይታይበት
ሱቅ በደረቴ,ሸቀጥ አዟሪ
ልቡ ሰባ,ተበተ
አሸበሸበ,እስክስታ ወረደ
ቅቤ ጠባሽ,እወደድ ባይ
አናቱን ለየ,አወቀ
አበጥሮ ያውቃል,ጥሩ አድርጎ ያውቃል
መስክረም ሲብት,መስከረም ሲጀመር
አፈ ሹል,ነገረኛ
በዱላ አቦነነው,ደህና አድርጎ መታው
ጋኔን ለከፈው,ርኩስ መንፈስ አደረበት
ረጠበ,አገኘ
የጣይ ሽንት,የደጋ ርጥበት
ምጣድ ሰማ,ጋለ
ተራ መታ,ተደረደረ
ምን ያምር,እንዴት ያምር
እንትፍ እንትፍ አለ,ጥላቻውን ተወ
ስርቅ ስርቅ አለው,ትን ትን አለው
በነገር በከለኝ,ነገር ውስጥ አስገባኝ
ይቀለኛል,አልፈራውም አላፍረውም
የበሰለ ዋስ,ሙሉ ዋስትና የወሰደ ሰው
ብስል ተቀሊል,ጥሩውም መጥፎም ያለበት
እጅ ሳመ,ተለማመጠ
ተካይ ነቃይ,ሿሚ ሻሪ
ሀብተ ሰባራ,ማንኛውም ነገር የማይቃናለት
ተበላ,በቁማር ገንዘብ ከሰረ
አንደበተ ስል,ጥሩ ተናጋሪ
ልበ ተራራ,ባለብዙ እቅድ
አር የነካው እንጨት,ሁሉም የሚያጥላላው
ልቡን መታው,ትዝ አለው አቅለሸለሸው
ሰይጣን ደፋር,ልበ ቆራጥ
በሀብት ተነከረ,ከበረ
ሽንታም,ፈሪ ቦቅባቃ
ቁመናማ,ቁመተ መልካም
ትምህርቱን ቀጠቀጠ,ጥሩ አድርጎ አጠና ተማረ
ጫካው ቀና,ጫካዉ ተመነጠረ
ምላሽ ጠራ,ሙሽሮቹን ቤት አሳየ
ምድር ደህና ዋይ አለ,ፈፅሞ ኮራ
ለበረከቱ,ለረድኤቱ
ሲስሟት ቀርቶ ሲስቧት,ሲለማመጧት እምቢ ብላ ሲያስገድዷት
ብልሀት አለቀበት,መውጫ ቀዳዳ አጣ
ብስል ሰው,አዋቂ
ህሊናውን ሳተ,እንደ እብድ አደረገው
ምግቡን አነከተው,ጨርሶ በላው
ልቡን ነካው,በመደነቅ በርሀራኄ አይን አየው
ለጋ ደመና,ጥቁርነት የሌለው ደመና
ወገብሽን ታጠቂ,ተጠናከሪ
አንበጣ መታው,አንበጣ በላው
ቁም ፅህፈት,ጉልህና የሚያምር ፁሁፍ
አራግፎ,አውጥቶ
እልሁን አስቆጠረ,ንዴቱን እንዲጨርስ አደረገ
ብር ቂንጥ,ቱር ቂብ
አባ ሰንጋ,የከብት በሽታ
ልብ አብርድ,አስደሳች
ሙልጭ አድርጎ ሰደበ,ፈፅሞ አዋረደ
ሰውነቴ በሰለ,ዛለ
መልስ ያለ,አነስ ያለ
ንባቡን ለበለበው,በፍጥነት አነበበው
መሬት አሳመው,አዋረደው
ተላላሰ,ተመሰጋገነ
ሌባ ሻይ,ልዩ መድሀኒት ሌባን የሚጠቁም
ቀኝ እጅ,ጥሩ ወዳጅ
ትምህርት ቀሰመ,ተማረ
ቀደም ሲል,ድሮ
ነኝ ባይ,በራሱ የሚኩራራ
ሁለት ምላስ,ሀሰት እና እውነት ደባላቂ
በል በል አለኝ,አድርግ አድርግ አለኝ
ወገቡን ሞከረ,እዳሪ መጣ
ጥምጥሙን ቆለለ,ጥምጥሙን በረጅሙ አሰረ
ተስፋ ቆረጠ,ተስፋ ቢስ ሆነ
ንቅስ ንቅስ አደረገ,ትንሽ ትንሽ በላ
ስጋዊ,አለማዊ
ምን ከፋኝ,እስማማለሁ
መከራ ሸመተ,መከራ አተረፈ
ሁለት ልብ,ወላዋይ
ቁርበት,ሞኝ
ሀሳቡ ተበታተነ,አልሰባሰብ አለ
ቅልጥ አለ,እዚያው ቀረ
ጥሬ ቃል,ሳይተረጎም እንዳለ የተተወ ሀሳብ
