text,label
አፍፉን ለቀቀ,1
ውሸቱን ለቀቀው,1
ከብቱን ለቀቀ,1
በነገር ለበለበው,1
ንባቡን ለበለበው,1
ጠጁን ለበለበው,1
ሀፍረት ለበሰ,1
ለብሰሽ ፍጂው,1
ልብስ ተማሪ,1
ልብስ ገፋፊ,1
አለባበሰ,1
አልብሽኝ አንተርሽኝ,1
አመሳቅሎ ለበሰ,1
ጆሮ ዳባ ለበሰ,1
ፀጋ ለበሰ,1
ፀጋ ልበስ,1
ለበቃ ለባቃ,1
የለበጣ አነጋገር,1
ለብ አለው,1
ለብታ,1
ለከት የሌለው,1
ለካከፈ,1
ልክፍታም,1
ልክፍታ,1
በሽታ ለከፈው,1
አለከፈ,1
አትልከፈኝ,1
ውሻ ለከፈው,1
ጋኔን ለከፈው,1
የሰውን ልክ,1
በልክ,1
አለልክ,1
ከልኩ አያልፍም,1
ከልኩ አለፈ,1
ነገር ለኮሰ,1
አያላውስም,1
ለዋሳ,1
በዱላ ለወሰው,1
እስቲ ልውስ ትልና,1
ሀይማኖቱን ለወጠ,1
ልብሱን ለወጠ,1
ሰውነቱ ተለወጠ,1
ሽታው ለወጠ,1
አገሪቷ ለውጥ ያሻታል,1
ይለዋወጣል,1
ሰው ሰው አትበል,1
አለዘበ,1
ለዛ ሙጥጤ,1
ለዛ ቢስ,1
ሰው ለየ,1
ፊደል ለየ,1
በልዩ,1
አናቱን ለየ,1
ለይቶ አየ,1
ነገር ለደፈብኝ,1
ለጋ ጎበዝ,1
ለጋ ቅቤ,1
ለጋ ደመና,1
ለጋ ጨረቃ,1
ባታላጋኝ,1
ልጓም አጥባቂ,1
ልጓም ጣሰ,1
አለጠለጠ,1
በሀሰት ለጠፈበት,1
በጥፊ ለጠፈበት,1
ለፍቶ መና,1
በዱላ አለፋው,1
አይነ ልም,1
ላስ አደረገው,1
መሬት ላሰ,1
አላሰ,1
መሬት አስላሰ,1
ማርም አልልስ,1
ተላላሰ,1
እሳት የላሰው,1
የሚላስ የሚቀመስ,1
ጥፊ ላሰ,1
በዱላ አላሻቀው,1
አእምሮው ላሽቋል,1
ላባ ቀረሽ,1
ላብ ላብ አለው,1
ላክ አደረገ,1
ሲበሉ የላኩት,1
የሰይጣን መልእክተኛ,1
ላይ ላዩን ሄደ,1
ላይ ታች አለ,1
ላይ በሌ,1
የበላይና የበታች,1
በስራ ላይ,1
ከአንገት በላይ,1
ላይኞች,1
ላጤ መላጤ,1
ሴተ ላጤ,1
ወንደ ላጤ,1
ልጦ ጎርዶ አወጣ,1
የብረት ልጥ,1
በደረቁ ላጨ,1
ቤቴን እሳት ላፈው,1
እሳት የላፈው,1
ገንዘቤን ላፈኝ,1
ውሸቱን ላፈው,1
ሌላውን,1
ሌባ ሚዛን,1
ሌባ ውጋት,1
ሌባ ዝናብ,1
ሌባ ጣት,1
አሰልጥ ሌባ,1
አይነ ሌባ,1
ሌባ ሻይ,1
ከቁንጫ ሌጦ ማውጣት,1
ልሳነ እሳት,1
ሁለት ልብ,1
ልበ ልል,1
ልበ ሙሉ,1
ልበ ሙት,1
ልበ ሞቃት,1
ልበ ሰፊ,1
ልበ ቀላል,1
ልበ ቀን,1
ልበ ቆራጥ,1
ልበ ቢስ,1
ልበ ባህር,1
ልበ ብር,1
ልበ ብርቱ,1
ልበ ተራራ,1
ልበ ትልቅ,1
ልበ ከንቱ,1
ልበ ክፍት,1
ልበ ደረቅ,1
ልበ ደንዳና,1
ልበ ድንጋይ,1
ልበ ደፋር,1
ልበ ድንጉጥ,1
ልበ ድፍን,1
ልበ ገር,1
ልበ ጎረምሳ,1
ልበ ጎዶሎ,1
ልበ ጠናና,1
ልበ ጡል,1
ልበ ጥልቅ,1
ልበ ጥሩ,1
ልበ ጥኑ,1
ልበ ፈሪ,1
ልቡ አበጠ,1
ልቡን አወለቀ,1
ልቡ ሞተ,1
ልቡ ሰባ,1
ልቡ ሳሳ,1
ልቡ ረጋ,1
ልቡ ራሰ,1
ልቡ ሸፈተ,1
ልቡ ሻ አለ,1
ልቡ ቀረ,1
ልቡ ቀዘቀዘ,1
ልቡ ቆመ,1
ልቡ ቆረጠ,1
ልቡ ቆሰለ,1
ልቡ ቋመጠ,1
ልቡ ባከነ,1
ልቡ ተሸበረ,1
ልቡ ተቀሰቀሰ,1
ልቡ ተቃጠለ,1
ልቡ ታወከ,1
ልቡ አረፈ,1
ልቡ አላረፈም,1
ልቡ ወላወለ,1
ልቡ ከዳው,1
ልቡ ወደደ,1
ልቡ ዋለለ,1
ልቡ ገባ,1
ልቡ ፈረሰ,1
ልቡና ይስጥህ,1
ልቡን መታው,1
ልቡን ማረከው,1
ልቡን ሰለበው,1
ልቡን ሰለበችው,1
ልቡን ሰቀለው,1
ልቡን ሰወረው,1
ልቡን ሰጠው,1
ልቡን ሸነጠው,1
ልቡን ቆረቆረው,1
ልቡን በላው,1
ልቡን ነሳው,1
ልቡን ነካው,1
ልቡን ከዳው,1
ልባም,1
ልብ ለልብ,1
ልቤን ማረከችው,1
ልቤን አልነካኝም,1
ልብ ከዳ,1
ልብ ቀረው,1
ልብ ነሳው,1
ልብ አለ,1
ልብ አሳጣ,1
ልብ አቁስል,1
ልብ አብርድ,1
ልብ አብሽቅ,1
ልብ አብግን,1
ልብ አውልቅ,1
ልብ አደረገ,1
ልብ አድርቅ,1
ልብ አድርግልኝ,1
ልብ አጠፋ,1
ልብ አጣ,1
ልብ አፈረሰ,1
ልብ ወረደው,1
ልብ የማይገባ,1
ልብ አውልቅ,1
በልብ አዋለ,1
በእንቅልፍ ልብ,1
ከልቡ ተነጋረ,1
ከልቡ አገለገለ,1
ከልቡ ወደደ,1
የልብ ልብ በቃው,1
ልጨኛ,1
ተረከዘ ሎሚ,1
ሎጥ ሎጥ አለ,1
ማስመለስ,1
ምላሽ ጠራ,1
ሰርግና ምላሽ,1
ነገር አመላላሽ,1
መለስ ቀለስ አለ,1
መልስ ያለ,1
ቤት በመለስ,1
አእምሮው ተመለሰ,1
አመለከተ,1
አስመለከተህና,1
የበይ ተመልካች,1
መላ ጣይ,1
በመላ ሄደ,1
መላ መታ,1
መላ ቅጡ,1
መላቢስ,1
መላቅጡ የጠፋ ነገር,1
በመላ ተናገረ,1
መልከ መልካም,1
መልከ ጥፉ,1
አመረረ,1
የቆንጆ መራራ,1
ደመ መምህር,1
ምርር አለ,1
ሰነፍ መረቅ,1
ከነመረቁ አቃመው,1
ምርዝ አደረገ,1
መርዞ ያዘ,1
ምርግ,1
ምርጊት ፊት,1
ሙርጥ አወጣ,1
መራውን ወጣ,1
መሬት ይቅለለው,1
መሮ ጥርስ,1
ምስለ ቢስ,1
ምስለ አፍሳሽ,1
ሰው በመሰል ይሞታል,1
ተምሳሊተ ብዙ,1
አይመስሉ መስሎ,1
አመሳከረ,1
አስመሰከረ,1
አውራ ምስክር,1
ዝርዝር ምስክር,1
ምስጋና ቢስ,1
ምስጋና ይንሳው,1
ምስጋና ይግባው,1
አመስጋኝ አማሳኝ,1
አርፈ መስቀል,1
መስክረም ሲጠባ,1
መስክረም ሲብት,1
መስከረም ነጋ,1
መስክ ለመስክ,1
መስክ አልፋ,1
ምድር መሸበት,1
መቀስ አፍ,1
ዘር መምህር,1
ልቡን መታው,1
መሰንቆ መታ,1
መታ ያለ,1
መላ መታ,1
መንገድ መታው,1
ምች አደር,1
ምች መታው,1
ራስ ምታት,1
ስልክ መታ,1
በረዶ መታው,1
በር መታ,1
በገና መታ,1
በገና ምት,1
ባዝራዋ ተመታች,1
ቤት መታ,1
ተልባ መታ,1
አስመታ,1
አድማ መታ,1
አገር ተመታ,1
አንበጣ መታው,1
እሳት መታው,1
ዝናብ መታው,1
ዳንኪራ መታ,1
ጠበል አስመታ,1
ፀሀይ መታው,1
መቼ አጣሁት,1
መቼ እንዲህ አልኩ,1
መቼ ጠፋኝ,1
መቼም መቸ,1
መቸውንም,1
ቅጡም የምንኩስና,1
ስሙን መነዘረው,1
አለቃና ምንዝር,1
መንግጎ ወሰደ,1
መንጥሮ አጠበ,1
ጀርባውን መነጠረው,1
በሀይል ተመነጠቀ,1
ምንጭሩ ድብን አለ,1
መና ቀረ,1
መንታ ልብ,1
መከራ ስጋ,1
መከራ አሳየ,1
መከራ ቀመሰ,1
መከራውን በላ,1
መከተ,1
የድሀ መከታ,1
ጉዳዩ መክኖ ቀረ,1
እቅዱ መክኖ ቀረ,1
መከዳ አቃፊ,1
የወላድ መካን,1
አረግ መዘዘ,1
አንገቱን መዘዘ,1
ዱላ መዘዘ,1
ምድር አስጋጠ,1
ምድር ለቀቀ,1
ምድር መታች,1
ምድር ቀለጠ,1
ምድርና ሰማይ ዞረባት,1
ምድር ተፋችው,1
ምድር ዞረበት,1
ምድር ዋጠው,1
ምድር ያዘ,1
ምድር ደህና ዋይ አለ,1
ምድር ፊት,1
አይነ ምድር,1
ያንበሳ መደብ,1
ከንፈሯን መገመገው,1
ምግበ ነፍስ,1
ምግበ ስጋ,1
መገዘዝ ፊት,1
ሊጡ መጠጠ,1
ስጋው መጠጠ,1
ቁስሉ ምጠጠ,1
አይቡ መጠጠ,1
ጭቃው መጠጠ,1
ፊቱ መጠጠ,1
ምጥ መጣ,1
በምጥ ማርያም አለ,1
ዛር ስትወልድ ቢያይ የሚያምጥ,1
የመጣው ቢመጣ,1
መጥኔውን ይስጥሽ,1
መጭ አለ,1
አባ ሙላት,1
አይሞላለት,1
እድሜው ሞላ,1
ከሞላ ጎደል,1
ሙሬ አፍ,1
አፈ ሙዝ,1
ከንፈሩን ሚን ሚን አደረገ,1
ሌባ ሚዛን,1
መማለጃ በላ,1
ማልዶ ማልዶ,1
ማላ አፈረሰ,1
ማላ ፋቱ,1
ለአህያ ማር አይጥማትም,1
ማርም አይልስ,1
ጉድጓድ ማሰለት,1
ከማን አንሼ,1
ማንቆርቆሪያ አፍንጫ,1
ማድ ረጋጭ,1
ማእዱን አማገጠ,1
ብታደራልኝ አማግሁልህ,1
በጦር ማገረበት,1
ዘንዶ ማገር,1
ነገር ውስጥ ማገደው,1
የሰው ሚስት አማገጠ,1
ማዶ ማዶ,1
ማዶና ማዶ,1
ሁለቱ ድርና ማግ ሁነዋል,1
ምራቁን ዋጠ,1
የሴት ምራቋ ደንዳና,1
ምርቅና ፍትፍት,1
የሀገር ምሰሶ,1
የሰው ምሰሶ,1
የጦር ምሰሶ,1
ምሳ አደረገ,1
የማሪያም ምሳ,1
የአይን ምሳ,1
ምስጢር አወጣ,1
ምስጢር አየ,1
ምስጢር አፈሳ,1
ምኑ ቅጡ,1
ምኑና ምኑ ተይዞ,1
ምናምን,1
ምናምንቴ,1
ቆርጦት,1
ብዬ,1
ምንህ,1
ታዲየ,1
አባቱ,1
አግዶኝ,1
ምንኛ ጠግበሀል,1
አለብኝ,1
አባቴ ልሁን,1
ያምር,1
ከፋኝ,1
ይበጀኝ,1
ገደደኝ,1
ለምኔ,1
ቆርረጠኝ,1
የእንጨት ምንቸት,1
ምንጭር ቆራጭ,1
ሙልጭ አድርጎ ሰደበ,1
ሙልጭ አለ,1
ሞልጮኝ ሄደ,1
ሞላጫ ሌባ,1
ሙልጭ ወጣ,1
ለአይን ሞላ,1
ሰአቱ ሞላ,1
ሰአቱን ሞላ,1
ሙሉ ልጃገረድ,1
ሙሉ ሰው,1
ሙሉ አካል,1
በጎደለ ሞላ,1
ቤት ሞላ,1
ትዳሩ ሞላ,1
ዉሀ ሙላት,1
ጉዳዩን ሞላ,1
ፍቃድ ሞላ,1
አሞላ,1
አሟልቶ ሰጠው,1
ርሀብ ሞረደው,1
በትምህርት ሞረደው,1
የእቡይ ሞረድ,1
ሞቅ ሞቅ አለ,1
ሞቅ አለው,1
ትዳሩ ሞቀ,1
የሞቀ ቤት,1
ጨዋታው ሞቀ,1
ልቡ ሞቷል,1
በቁሙ ሞተ,1
ሙት ለሙት ያለቅሳል,1
ሙት አማጣኝ,1
ሙት ደረቅ አይበላም,1
ሞቴን ሞት ወሰደው,1
ሞት ሞት ሸተተው,1
ሞት ሞት ሸተተው መሰለኝ,1
በሞተ ከዳ,1
እሳቱ ሞተ,1
አይኑ ሞቷል,1
ዛፉ ሞተ,1
የሞተ ሞተ,1
የሞት ሞት,1
የሞተ እንጀራ,1
ሞኝ ያገኘው ፈሊጥ,1
ተሞካከረ,1
ወገቡን ሞከረ,1
ሞገስ አገኘ,1
ሰውንቴ ተሟገተብኝ,1
ሙጢ አፍ,1
አፉን ያሞጠሙጣል,1
መሬት አሟሸ,1
አፉን አሙሸ,1
እጅ ማሟሻ,1
ለዛ ሙጥጤ,1
መሟጠጫ,1
ሟጣጭ ሌባ,1
ፍቅር አሟጠጠ,1
ክፉ ነገር ረመጠብኝ,1
ረሳ,1
ሞት ይርሳኝ,1
ነገሩ ረቀቀ,1
ተረባረበ,1
ረባ,1
ርባ ስባ,1
ርባነ ቢስ,1
ሰውነቱ ተረታ,1
አንደበቱ ረታ,1
ጉልበቱ ተረታ,1
መድሀኒቱ ረከሰ,1
ሴት አስረካሽ,1
ርካሽ,1
ርካሽ ቦታ,1
እንደ ተረከበው,1
አርከፈከፈብን,1
ጥይቱን አርከፈከፈበት,1
የነገር ርክፍካፎ,1
ንግግሩን አላረካውም,1
ረድኤታም እህል,1
ረድኤታም ሴት,1
አታረግርግብኝ,1
ረገብ አደረገ,1
ሳብ ረገብ,1
ቂም አረገዘ,1
ነገር አረገዘ,1
አይኑ አረገዘ,1
አጥሩ አረገዘ,1
ደም ያረገዘ ጣት,1
በረገድ በረገዱ,1
ረገጠ,1
ርጋጭ ርጋጭ ይላል,1
ርግጡን ንገረው,1
ስበትን ረገጠ,1
ቆላና ደጋ ረገጠ,1
ቢረግጥ ይገል,1
ብቅል ረገጠ,1
ነገሩን ረገጠ,1
አረጋግጦ መሰከረ,1
አራገጠ,1
አንገቱን ረገጠው,1
አስረግጠህ ንገረኝ,1
አውድማን ረገጠ,1
እርግጥ,1
ወይን ረገጠ,1
ዳኛ ረግጦ ሄደ,1
ድንበር ረገጠ,1
ገበታ ረጋጭ,1
ጠምንጃው ተራገጠ,1
ረገፈ,1
ሰውንቴ ረገፈ,1
አራገፈ,1
አራጋፊ,1
አራግፎ,1
እርግፍ እርግፍ አለች,1
እርግፍ ያርገኝ,1
እንባው ረገፈ,1
ደም ግባቱ ረገፈ,1
ጥርሱን አረገፈው,1
ልቡ ተረጋጋ,1
ልቤ ረጋ,1
ረጋ ስራሽ,1
ርጋ,1
ሰላም ረግቷል,1
ባለህበት ርጋ,1
ቤቱ ተረጋጋ,1
አገር ረጋ,1
የረጋ,1
የረጋ ወጣት,1
ረጠበ,1
ርጥብ ሬሳ,1
ርጥብ ቁርበት,1
ረጠበ,1
ርጥባን,1
አራጠበ,1
እርጥብ ልጅ,1
እርጥብ ናት,1
ርጥብ,1
ርጥብ አማኝ,1
እግረ ርጥብ,1
ረጨ,1
በመጠጥ ተራጨ,1
በነገር ረጨኝ,1
በእንባ ተራጨ,1
እንባው ረጨበት,1
እንባ ረጨበት,1
ልቡ ራሰ,1
አርሶ ዘነበ,1
አራሳት,1
አንጀቱ ራሰ,1
አንጀቴን አርሰኝ,1
ራሰ ዘናና,1
ራሰ ክፍት,1
ራሱን ሳተ,1
ለራስ ያሉት,1
ራስሱ ዞረ,1
ራሱ ጠና,1
ራሱን ሰወረ,1
ራሱን ቻለ,1
ራሱን ቀበረ,1
ራሱን ነቀነቀ,1
ራሱን አወቀ,1
ራሱን አወጣ,1
ራሱን አዋረደ,1
እራስ የሌለው,1
ራሱን ጣለ,1
ራስ ላይ ወጣ,1
ራስ ምታት,1
ራስ ራሱን,1
ራስ ሳይጠና ጉተና,1
ራስ ስሞሽ,1
ራስ በራስ,1
ራስ የለውም,1
እኔ ራሴ,1
ልባቸው ተራርቋል,1
ሩቅ አገር,1
በዋጋ ተራራቁ,1
አሳበ ሩቅ,1
አራራቂ,1
የሩቅ ዘመድ,1
የቅርብ ሩቅ,1
ጉዳዩን አታርቀው,1
በራብ አለንጋ ተገረፈ,1
ራቤ,1
መሬቱ ተርቧል,1
ሬሳ,1
አፅመምህርስት,1
አርእስተ ነገር,1
ርእስ አንቀፅ,1
ርስ በርሱ,1
አንድ ራሱን,1
ሮሮ አይመረው,1
ሲሮጥ ያሰሩት,1
አሯሯጠው,1
የህልም ሩጫ,1
ይሯሯጣል,1
መስቀልን ተሰላጢን,1
ስልጣኑ ተያዘ,1
ሰለጠነባቸው,1
ስልጡን አፍ,1
ስልጡን እጅ,1
ድህነት ሰለጠነ,1
ድንቄም ሰለጠነች,1
ክፉ ስልጣኔ,1
ለነገር ተሰለፈ,1
ሰልፍን አሳምር,1
ሰልፍ ዉጣ,1
አትሰለፍ,1
ሰልፍ አበላሽ,1
ሰመር ገጠመ,1
ሰመር ገባ,1
ለሰሚ ግራ ነገር,1
ለይስሙላ,1
ምጣድ ሰማ,1
ስማ በለው,1
ብትሰማ ይሻላል,1
የስሚ ስሚ,1
ያልሰማ ጆሮ,1
ዳኛው ሰማ,1
ሰማንያ ከነዳ,1
ሰማንያዋ ወረደ,1
የሰማንያ ሚስት,1
ሰማዩ ተደፋበት,1
ሰማይ ለሰማይ,1
ሰማይ ሰማይ አትይ,1
ሰማይ ቆጡ,1
ሰማይ ዳሴ,1
ሰማይ ጠቀስ,1
የሰማይ ቁጣ,1
የሰማይ ቤት,1
ስም ለበስ,1
ሰምና ወርቅ,1
ሰምና ፈትል,1
ሰምና ፈትል ሁናችኋል,1
ቤት ሰረሰረ,1
ነገር ሰረሰረ,1
ልቡን ሰረቀው,1
መሰራረቅ,1
ሰርቆሽ በር,1
ስርቅ ያለ,1
ስርቅ ስርቅ አለው,1
አይኑ ሰረቀ,1
ሀሳብ ተሰነቀረብኝ,1
ወዳጅኔቴን ሰርዣለሁ,1
ሰርግና ምላሽ,1
ሰርገኛ መጣ በርበሬ ቀንጥሱ,1
ሰረገላ ቁልፍ,1
ሰረገላ ውግ,1
ሰረገላ ገባ,1
የነገር ሰረገላ,1
ሁለተኛ ስራ,1
ሁለተኛ ተሰራ,1
ለይምሰል ስራ,1
መግል ሰራ,1
ሰርቶ አፍራሽ,1
ስራ ስራውን,1
ስራ ያዘ,1
ስራ ቤት,1
ስራ ሰሪውን,1
ስርራ ፈታ,1
ስራ ፈት,1
ስራዬ ብሎ,1
ስራ ማይዝ,1
ስራት ለበሰ,1
ስራተ ቢስ,1
ስራህ ብዙ,1
ብረት ሰሪ,1
ብረት ሰራ,1
ነገረ ሰሪ,1
ነገር ሰራ,1
የሰይጣን ስራ,1
የቤት ስራ,1
የወዲያ ስራ,1
ካሳ ሰራ,1
ወንጀል ሰራ,1
ገበታ ሰራ,1
ግፍ ሰራ,1
ጠጉር ሰራ,1
ልቤ ተሰቀለ,1
መስቀለኛ መንገድ,1
መስቀለኛ ጥያቄ,1
ሰቀላ ቤት,1
ቁም ስቅል አሳዬ,1
አይኑን ሰቅሎ አዬ,1
ዋጋ ሰቀለ,1
የመስቀል ወፍ,1
ልቡን ሰበረው,1
ህግ ሰበረ,1
ምክሩ አጥንት ይሰብራል,1
ሀብተ ሰባራ,1
መንገድ አሳበረ,1
ሰባራ ስንጥር,1
ቀለሙ ተሰበረ,1
አምባር ሰበረ,1
አንድ ሰበር,1
ሶስት ሰበር,1
አንገቱን ሰበረ,1
ዋጋ አሳበረ,1
አከንባሎ ሰበረ,1
እንጨት ሰባሪ,1
ከብቱ ጥርሱን ሰብሯል,1
ኬላ ሰበረ,1
ኬላ ሰበር,1
አይነ ሰባራ,1
ዜማው ሰበረ,1
የሰው ስም ሰበረ,1
ይሰበር ደጋሚ,1
ደጀኑን ሰበረ,1
ዳኛን ሰበረ,1
ጓያ ሰበረው,1
ልብስህን ሰብስብ,1
ምላስህን ሰብስብ,1
ስብስብ እምቤት,1
ስብስብ,1
ስብሳብ የተወለደ,1
አመልህን ሰብስብ,1
አሰባሰበ,1
እጅህን ሰብስብ,1
እግዚአብሄርህን ሰብስብ,1
ልቡ ሰባ,1
ሰብቷል,1
የሰባ ነገር,1
አስብቶ አራጅ,1
እንቅልፍ ይስባህ,1
ሀብቱን ሰነከለበት,1
ሰንካላ,1
ሰንካላ ምክንያት,1
እድሜው ተሰናከለ,1
እጀ ስንኩል,1
ሀሳብ ሰነዘረ,1
መሰናዘሪያ ቦታ,1
ስንዝሮ,1
ስንዝር መሬት,1
ስንዝር ሲሰጡት ጋራ,1
እጁን ሰነዘረ,1
እግዚአብሄርህን አታሰናዝር,1
መሬት ሰነጋ,1
ቃሪያ ሰነጋ,1
ልቡ ተሰነጠቀ,1
ጠጉር ስንጠቃ,1
ሰንጣቃ እንጨት,1
ሰንጣቃ,1
ሰነፍ ምርት,1
ሰነፍ ቆሎ,1
ሰነፍ እርቅ,1
ገዢው በህዝብ ላይ ሰነፈጠ,1
ሰኔና ሰኞ,1
ሰኔ ነግ በኔ,1
ሰንኮፉ አልወጣም,1
የልብ ሰንኮፍ,1
አባ ሰንጋ,1
ዝም አሰኘ,1
ልቡ በደስታ ሰከረ,1
አሳከረ,1
ልብቡ አልሰከነም,1
አመሉ አልሰከነም,1
ሰው,1
ሰው መሆን አይቀርም,1
ሰው አደረገው,1
ሰውነተ ቢስ,1
የሰው ሰው,1
የሰው ቤት,1
የሰው አገር,1
የሰው አይን በላው,1
የሰው አይን ሆነበት,1
ሰይጣኔ መጣ,1
ሰይጣናም,1
ሰይጣን አትሁንብኝ,1
ሰይጣን ይዞታል,1
ሰይጣን ደፋር,1
የሰይጣን ቁራጭ,1
የሰይጣን ነገር,1
የሰይጣን ፈረስ,1
ሰዶ ማሳደድ,1
ስድ,1
ስድ ቤት,1
ስድ አደግ,1
የሰደድ እሳት,1
መስገርት,1
ሆዱን ሰጠ,1
ለመከራ ሰጠ,1
መምህር አልሰጠም,1
ቃሉን ሰጠ,1
ቃሉን ሰጠኝ,1
ትከሻ ሰጠ,1
እጁን ሰጠ,1
እሰጥ አገባ,1
የሰጠ,1
የሰጡትን ይይዛል,1
የሰጠ ይታክታል,1
በላብ ሰጠመ,1
በሀዘን ሰጠመ,1
በሀሳብ ሰጠመ,1
ሰጥ ለጥ ብሎ ተገዛ,1
መሀል ሰፋሪ,1
ሱሪ ቢጣልባት የምታረግዝ,1
ሱሪ ባንገት ማውለቅ,1
ሱሪ አለበስኩም,1
ባለሱሪ,1
ሱቅ በደረቴ,1
ሲጥ አደረገው,1
አንደበተ ስል,1
ሳለ አይሰጥ,1
መሬት አሳመው,1
ራሱን ሳመ,1
ሳምልኝ,1
ሲስሟት ቀርቶ ሲስቧት,1
ራስ ተስሞ,1
ቤተ ክርስትያን ሳመ,1
አላዋቂ ሳሚ,1
እጅ ሳመ,1
እግዚአብሄር ሳመ,1
ለልጁ ሳሳ,1
ገበታው ሳሳ,1
አይኑ ይሳሳል,1
ሳረ በል,1
ሳር ቅጠሉ ሁሉ,1
ሳር እግዚአብሄር,1
አብሮ ሳቀ,1
ሳብ ረገብ አደረገ,1
መኸሩ ሳተ,1
ሰውየው ሳተ,1
ሳት አደረገ,1
እጀ ሴሰኛ,1
ሴራ,1
ሴራ ጉዱ,1
ሴራ መታ,1
ሴራ ቆረጠ,1
ሴተ መሬት,1
ሴተ ቋንቋ,1
ሴት አውል,1
የሴት ልጅ,1
የሴት አለሌ,1
የሴት መዶሎቻ,1
ስመኛ,1
ስሙን ተከለ,1
ስምህን ቄስ ይጥራው,1
ስም አጠፋ,1
ስም እንዳለው,1
ስመ ጥር,1
ስመ ጥቁ,1
ስረ ነገር,1
ስር ስሩን,1
ስር ሰደደ,1
ስር ነቀል,1
ስር የለሽ,1
ስር ያዘ,1
ስር ጠምዛዣ,1
ስር ነቃይ,1
ስንክሳሩ በዛ,1
ስንኳን,1
ስጋ,1
ስጋ ለስጋ,1
ስጋማ,1
ስጋ ወደሙ,1
ስጋዊ,1
ስጋዬ,1
የስጋ ከብት,1
የስጋ ዘመድ,1
የግንባር ስጋ,1
የጥርስ ስጋ,1
ግብረ ስጋ,1
ሽል ያለ,1
ሰውነቱን ሸመቀቀው,1
ሸለተ,1
መከራ ሸመተ,1
በሽታ ሸመተ,1
ውሸቱን ሸመጠጠው,1
ጆሮውን ሸመጠጠው,1
ሸማ ለባሽ,1
ሸማ በየፈረጀ ይለበሳል,1
ነገር ሸረበ,1
በነገር ተሸረከተ,1
ሸርካታ,1
ሸርሞ ለሸርሞ,1
ባህር ሸሸ,1
ብር ሸሸ,1
ፀጉር ሸሸ,1
በነገር ሸቀጠ,1
አሸበሸበ,1
ግምባሩ ተሸበሸበ,1
